Student Name,Phone no,Email Id,Country Intrested (advisor)
Abhigna,9847845723,abhigna@gmail.com,USA
Yashodha,9234527566,yashodha@gmail.com,USA
Harsha,8621209409,harsha@gmail.com,Canada
Afia,8007891252,afia@gmail.com,USA
Sowmya,7394573095,sowmya@gmail.com,Australia
Prabhuvardhan,6781254938,prabhuvardhan@gmail.com,USA
Abhishek,6167936781,abhishek@gmail.com,UK
Cathy,5554618624,cathy@gmail.com,USA
Teena,4941300467,teena@gmail.com,USA
Tiny,4327982310,tiny@gmail.com,Canada
Tony,3714664153,tony@gmail.com,USA
Aqvi,3101345996,aqvi@gmail.com,Australia
Kinni,2488027839,kinni@gmail.com,USA
